feature,KS_statistic,p_value,p_above_0.05
recent_pace_delta,0.028442317916002127,0.5688259149451279,True
pressure_index,0.028593212435886126,0.6446148733221015,True
approx_gap_ahead,0.025563633771695356,0.7271604826586618,True
lap_time_delta,0.023258904837852205,0.8031830882073028,True
laps_since_last_pit,0.02126528442317916,0.8797261387559434,True
laps_remaining,0.02099946836788942,0.8887174827785178,True
approx_gap_behind,0.020893571836968064,0.9156177202765512,True
race_progress,0.019537480063795853,0.9319221992012467,True
