method,total_labeled_samples,accuracy,macro_precision,macro_recall,macro_f1
Baseline — Gradient Boosting,668,0.8809523809523809,0.841880341880342,0.8864942528735632,0.8605357142857143
Pseudo Labeling t=0.55 Round 1,7951,0.8333333333333334,0.7645833333333334,0.89272030651341,0.8123094149037545
Pseudo Labeling t=0.55 Round 2,8167,0.8214285714285714,0.7518617021276596,0.8884099616858238,0.8016774891774892
Pseudo Labeling t=0.55 Round 3,8180,0.8095238095238095,0.7443387681159421,0.8840996168582376,0.7930969030969032
Active Learning — Least Confidence Final,828,0.8928571428571429,0.8655660377358491,0.914272030651341,0.881903642773208
Active Learning — Margin Final,828,0.9166666666666666,0.8807692307692307,0.9228927203065134,0.8995132743362831
Active Learning — Entropy Final,828,0.8214285714285714,0.7573129251700681,0.8649425287356322,0.7979952290699954
